Full Name,Academic Performance,Attendance Percentage,Seat Zone,Grades,Academic Stress,Motivation,Depression,Sleep Disorder,Study Life Balance,Family Pressures,Parents Marital Status,Family Income Level,Housing Status,Has Private Study Room,Daily Food Availability,Has School Uniform,Has Stationery,Receives Private Tutoring,Daily Study Hours,Works After School,Has Electronic Device,Device Usage Purpose,Has Social Media Accounts,Daily Screen Time,Social Media Impact On Studies,Content Type Watched,Plays Video Games,Daily Gaming Hours
Christine Lopez,Good,83.05,Front,Mathematics:88.13; Art:100.00; Physics:89.44; Chemistry:86.15; History:94.13; English Language:92.33; Geography:97.39; Biology:93.32,High,High,TRUE,Low,Moderate,Low,Widowed,1901.08,Rented,FALSE,TRUE,FALSE,FALSE,TRUE,4.2,FALSE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.3
Loretta Joseph,Average,99.07,Side,Mathematics:37.84; Art:29.62; Physics:34.05; Chemistry:30.00; History:26.42; English Language:34.61; Geography:37.32; Biology:35.39,Moderate,High,FALSE,Low,Moderate,Low,Divorced,1810.05,Temporary Shelter,FALSE,FALSE,TRUE,TRUE,TRUE,2.6,TRUE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Nathaniel Nelson,Average,79.69,Side,Mathematics:38.69; Art:45.90; Physics:41.45; Chemistry:33.55; History:40.62; English Language:46.31; Geography:39.70; Biology:39.74,Moderate,High,TRUE,Low,Moderate,Moderate,Married,3621.68,Temporary Shelter,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.1
Richard Arias,Average,76.33,Middle,Mathematics:67.36; Art:70.46; Physics:63.76; Chemistry:68.06; History:68.60; English Language:65.44; Geography:67.84; Biology:65.87,Low,Moderate,FALSE,Moderate,Moderate,Low,Divorced,3297.62,Owned,TRUE,TRUE,FALSE,FALSE,FALSE,3.8,TRUE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
Crystal Baldwin,Good,78.66,Back,Mathematics:81.45; Art:83.13; Physics:80.45; Chemistry:83.74; History:90.00; English Language:85.97; Geography:85.33; Biology:85.13,Moderate,Moderate,FALSE,Moderate,Moderate,Low,Married,4990.17,Not Specified,TRUE,TRUE,FALSE,TRUE,FALSE,2.8,FALSE,TRUE,Entertainment,FALSE,3.2,None,None,FALSE,0
Stephanie Ellis,Needs Improvement,88.31,Side,Mathematics:33.03; Art:32.60; Physics:37.07; Chemistry:20.55; History:28.93; English Language:38.70; Geography:38.70; Biology:22.40,Moderate,Moderate,TRUE,Moderate,Moderate,Moderate,Married,1329.63,Not Specified,FALSE,TRUE,FALSE,TRUE,TRUE,5.3,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,0.7
Catherine Wells,Good,92.55,Front,Mathematics:93.52; Art:78.75; Physics:84.06; Chemistry:90.20; History:97.31; English Language:94.78; Geography:90.86; Biology:86.36,Low,High,TRUE,Not Specified,Moderate,None,Separated,3811.78,Temporary Shelter,FALSE,TRUE,TRUE,TRUE,TRUE,3.5,TRUE,FALSE,Not Specified,FALSE,0,None,None,TRUE,1.6
Kayla Pearson,Average,85.07,Middle,Mathematics:51.89; Art:51.26; Physics:56.06; Chemistry:46.98; History:49.53; English Language:42.97; Geography:45.65; Biology:47.59,Low,Moderate,FALSE,Low,Moderate,None,Widowed,4286.24,Temporary Shelter,FALSE,TRUE,FALSE,TRUE,TRUE,2.7,FALSE,TRUE,Gaming,TRUE,1,None,Sports,FALSE,0
Gary Rice,Good,96.25,Back,Mathematics:91.83; Art:84.63; Physics:86.72; Chemistry:79.40; History:79.07; English Language:90.21; Geography:81.75; Biology:86.97,High,High,TRUE,Not Specified,Good,Low,Divorced,4731.81,Owned,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE,Entertainment,TRUE,2.2,Positive,None,TRUE,1.4
Stephanie Vaughn,Good,86.14,Front,Mathematics:93.53; Art:85.33; Physics:93.72; Chemistry:80.70; History:92.13; English Language:86.91; Geography:94.38; Biology:81.10,Moderate,Low,FALSE,High,Needs Improvement,None,Divorced,2705.11,Temporary Shelter,TRUE,TRUE,TRUE,FALSE,TRUE,5,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,1.1
Andrew Fox,Average,86.93,Front,Mathematics:64.28; Art:55.32; Physics:59.80; Chemistry:59.61; History:58.75; English Language:54.86; Geography:67.02; Biology:54.45,Low,Low,FALSE,Low,Good,High,Married,519.35,Temporary Shelter,TRUE,FALSE,FALSE,TRUE,FALSE,4.8,TRUE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Ryan Walker,Average,81.98,Side,Mathematics:68.45; Art:61.67; Physics:73.25; Chemistry:63.13; History:66.31; English Language:66.98; Geography:61.96; Biology:57.67,High,Moderate,FALSE,High,Moderate,High,Single,529.94,Shared,FALSE,TRUE,TRUE,FALSE,TRUE,2.1,TRUE,TRUE,Not Specified,FALSE,0,None,None,TRUE,0.9
Nicholas Green,Needs Improvement,83.24,Back,Mathematics:26.56; Art:30.07; Physics:26.48; Chemistry:35.38; History:31.74; English Language:19.58; Geography:26.22; Biology:24.29,High,High,FALSE,Not Specified,Needs Improvement,Low,Single,1223.12,Temporary Shelter,FALSE,FALSE,TRUE,FALSE,TRUE,3,FALSE,TRUE,Work,FALSE,1.6,None,None,TRUE,1.4
Melanie Mills,Average,86.64,Front,Mathematics:75.35; Art:71.15; Physics:65.55; Chemistry:62.86; History:65.85; English Language:62.32; Geography:69.35; Biology:68.55,Low,Moderate,FALSE,Not Specified,Moderate,Low,Divorced,1889.63,Temporary Shelter,FALSE,FALSE,TRUE,FALSE,TRUE,5.9,TRUE,TRUE,Not Specified,FALSE,0,None,None,FALSE,0
Joshua Little,Average,94.79,Back,Mathematics:57.96; Art:44.69; Physics:46.80; Chemistry:53.73; History:47.66; English Language:52.54; Geography:50.37; Biology:44.66,High,Low,TRUE,Moderate,Moderate,Low,Married,2692.65,Rented,TRUE,FALSE,TRUE,FALSE,FALSE,3.4,FALSE,FALSE,Not Specified,FALSE,0,None,None,FALSE,0
